"Service Provider","Contact Name",Email,Website,"Primary Phone","Secondary Phone","Street Address",City,State,ZIP,Services,Borough,Certifications/Licenses,"Incentive Program Affiliation","General Description","Market Sectors","Number of Employees","Number of Years in Business","Building Size"
"RKB Group LLC","David Chen",info@therkbgroup.com,https://www.therkbgroup.com,551-289-4997,917-634-6282,"462 7th Ave","New York","New York",10018,"Accounting/Tax Advisory, Air Sealing/Weatherization, Audits/Study/Consultant, Boiler Services, Building Envelope/Roof Services, Chilled Water Hot Water and Stream Distribution Systems, Controls/Energy Management Systems, Domestic Hot Water, EC Motors, Elevator/Motors, Elevator Modernization, Engineering/Design/Modeling, Energy Modeling, Engineering/Structural Engineering, EV Charging Station, Green Roof, Heat Pumps, HVAC, Hydronic Heating, Insulation, Lighting, Local Law 84, Local Law 87, LL97, Packaged Terminal Air, Pipe Insulation, Retro-Commissioning, Roofing, Steam Heating, Turnkey Solutions, Water Conservation, Windows/Fenestration","Brooklyn, Bronx, Manhattan, Queens, Staten Island","CPA (Certified Public Accountant), Minority and Women Owned Business Enterprise (MWBE), Minority Owned Business Enterprise (MBE), Registered Design Professional","Con Edison Small-Medium Business Program (SMB), Con Edison Multifamily Program (MFEEP), Con Edison Commercial and Industrial (C&I), NYS Affordable Multifamily Energy Efficiency (AMEEP), NYSERDA Low Carbon Pathways for Multifamily Buildings, NYSERDA On Site Energy Manager (OSEM), NYSERDA Clean Heat Program","Minority-owned business providing complete energy management services to real estate owners. Our certified and licensed engineers work with building owners and operators to complete concise energy assessments and energy action plans, and assist with implementing cost-effective capital projects to reduce operating costs.

RKB provides design and project management services to implement projects in a practical way, capturing all available utility incentives and grants available. We will also leverage NYSERDA programs such as the On-site Energy Manager Program or FlexTech Program which subsidizes the cost for technical services.  Lighting, Local Law 84 (LL84), Local Law 87 (LL87), Local Law 88 (LL88), Local Law 97 (LL97),","Affordable Housing, Commercial and Industrial, Healthcare, Institutional, Multifamily Market Rate",6,3,"Medium (50K-250K sq. ft)"
"Robert Derector Associates","Tzvi Karoly",karoly@derector.com,https://www.derector.com,212-536-3872,212-764-7272,"19 W 44th St","New York","New York",10036,"Audits/Study/Consultant, Engineering/Design/Modeling, Energy Modeling, Local Law 84, Local Law 87, LL88 (Verification/Filing), Retro-Commissioning","Brooklyn, Bronx, Manhattan, Queens, Staten Island","Certified Energy Auditor, Certified Energy Manager, LEED AP Building Design + Construction (LEED AP BD+C), Registered Design Professional","Con Edison Commercial and Industrial (C&I), NYSERDA FlexTech, NYSERDA Low Carbon Pathways for Multifamily Buildings, NYSERDA Clean Heat Program","RDA is heavily involved in energy efficiency in MEP design, and we work with many types of clients on Local Law compliance, including with LL87 and LL97. We help develop long term electrification and net zero carbon roadmaps. Using extensive engineering expertise and comprehensive energy modeling, we strive to provide strategic guidance to our customers.","Commercial and Industrial, Institutional, Multifamily Market Rate",180,44,"Small (0-50K sq. ft), Medium (50K-250K sq. ft), Large (250K+ sq. ft)"
"Ross Energy Consulting","Joe Lynskey",jl@rossenergyllc.com,https://www.rossenergyllc.com,917-740-6303,917-740-6303,"9399 Grove Springs Road",Hammondsport,"New York",14840,"Air Sealing/Weatherization, Audits/Study/Consultant, Boiler Services, Building Envelope/Roof Services, Building Operations and Maintenance Training, Chilled Water Hot Water and Stream Distribution Systems, Controls/Energy Management Systems, Domestic Hot Water, EC Motors, Elevator/Motors, Elevator Modernization, Engineering/Design/Modeling, Energy Modeling, Engineering/Structural Engineering, EV Charging Station, Geothermal, Heat Pumps, HVAC, Hydronic Heating, Insulation, Lighting, Local Law 84, Local Law 87, LL88 (Verification/Filing), LL97, LL97 A321 (Verification/Filing), Mechanical/MEP, Packaged Terminal Air, Passive House, Pipe Insulation, Prescriptive Pathway (All 13 PECM's), Retro-Commissioning, Steam Heating, Water Conservation, Windows/Fenestration","Brooklyn, Bronx, Manhattan, Queens","Certified Energy Manager, Registered Design Professional, Retro Commissioning Agent","Con Edison Multifamily Program (MFEEP), Con Edison Commercial and Industrial (C&I), National Grid Multifamily Program, National Grid General Rebates, NYS Affordable Multifamily Energy Efficiency (AMEEP), NYSERDA Building Operations and Maintenance Training (PON 5357), NYSERDA FlexTech, NYSERDA Work Force Training","Ross Energy Consulting offers both Targeted and Comprehensive energy audits and retro commissioning tailoring their services to your property’s needs.  We also offer a suite of services around local law compliance for LL84, LL87, LL88, and LL97 performance and prescriptive pathway.  Our focus is on affordable and market rate multifamily housing as well as commercial buildings. We have audited over 50 million square feet of space ranging from affordable multifamily to non-profit religious institutions.  Ross Energy Consulting offers free workforce development training through NYSERDA’s Workforce Development program.  Our Strategic Energy Management services align energy performance with existing business objectives. Ross Energy Consulting can help clients develop a long-term plan to address the continuously changing responsibilities of energy management.","Affordable Housing, Commercial and Industrial, Multifamily Market Rate",6,10,"Small (0-50K sq. ft), Medium (50K-250K sq. ft)"
"SC ASSOCIATES","Sy Cohen",sycohen44@gmail.com,,631-624-3704,,"34-18 Northern Blvd, 5th Floor","Long Island City","New York",11101,"Audits/Study/Consultant, Boiler Services, Controls/Energy Management Systems, Domestic Hot Water, Electrification Feasibility Assessments, Engineering/Design/Modeling, Energy Modeling, Heat Pumps, HVAC, Local Law 84, Local Law 87, LL88 (Verification/Filing), LL97 A321 (Verification/Filing), Mechanical/MEP, Retro-Commissioning","Brooklyn, Bronx, Manhattan, Queens","Certified Energy Auditor, Registered Design Professional, Retro Commissioning Agent","Con Edison Multifamily Program (MFEEP), NYSERDA FlexTech, NYSERDA Clean Heat Program","SC Associates, PC is a licensed professional engineering firm specializing in energy efficiency and sustainability solutions. Our services include benchmarking, energy audits, retro-commissioning, mechanical design, energy engineering, and carbon reduction strategies. We assist clients in complying with New York City's sustainability laws, such as Local Laws 84, 87, 88, 95, 96, and 97, which aim to improve energy efficiency and reduce the carbon footprint of buildings.","Commercial and Industrial, Healthcare, Institutional, Multifamily Market Rate, Small-Medium Businesses",4,10,"Small (0-50K sq. ft), Medium (50K-250K sq. ft), Large (250K+ sq. ft)"
"Stantec Consulting Services Inc.","Jan Wei",jan.wei@stantec.com,https://www.stantec.com/en,212-330-6211,646-387-3881,"475 Fifth Avenue, 12th Floor","New York","New York",10017,"Controls/Energy Management Systems, Domestic Hot Water, Engineering/Design/Modeling, Energy Storage, Geothermal, Heat Pumps, HVAC, Hydronic Heating, Insulation, Lighting, LL88 (Verification/Filing), LL88 (Turnkey = Turnkey = Install, Verify, File), LL97 A321 (Verification/Filing), LL97 A321 (Turnkey = Turnkey = Install, Verify, File), Mechanical/MEP, Packaged Terminal Air, Passive House, Pipe Insulation, Retro-Commissioning, Steam Heating, Water Conservation, Windows/Fenestration","Brooklyn, Bronx, Manhattan, Queens, Staten Island","Registered Design Professional","Con Edison Commercial and Industrial (C&I), National Grid Multifamily Program, National Grid General Rebates","Stantec is a full engineering consulting service firm, that provide consulting services across multiple industries and markets, such as transportation, infrastructure, buildings, water, and energy.  Within our NYC office we offer a full A/S/MEP/FP & FA consulting service, in addition to provide high building performance services, such as energy modeling, energy planning, commissioning, energy auditing, decarbonization consulting, and deep energy retrofits.

Specific Services: Local Law 11 Fade Inspection, Local Law 84 Energy Benchmarking, Local Law 85 NYC Energy Code Compliance & Energy Progress Inspection (TR8 & EN-2), Local Law 87 Energy Auditing & Retro-Commissioning, Local Law 88 Lighting Upgrades & Sub-Metering, Local Law 92 & 94 Sustainable Roof, Local Law 97 Carbon Emission Compliance, LEED Sustainability Consulting.

Unique Capabilities: Stantec is very uniquely positioned due to the number of human resources available at its disposal.  Being a company that has over 24, 000 employees and has business line across all different sectors, the amount of experiences and Subject Matter Experts (SMEs) it can provide for a project is unmatched.  And this amount of resource is offered to your project regardless of your project size project.  Because we are about the communities we serve-because they, our communities too.   

Focus Industry: Multi-family Residential, Commercial, Mix-Used Commercial, Hospitality/Hotel Healthcare, Manufacturing, Municipal, Education (K thru 12 and Higher Ed), Industrial","Commercial and Industrial, Healthcare, Institutional, Multifamily Market Rate",26000,65,"Medium (50K-250K sq. ft)"
"Sustainable Investment Group","Jonathan Eckman",jonathane@sigearth.com,https://sigearth.com/,737-263-3625,470-668-4509,"6300 Powers Ferry Road NW, Suite 600-336",Atlanta,Georgia,30339,"Audits/Study/Consultant, Data Platform/Data as a Service, Engineering/Design/Modeling, Energy Modeling, Local Law 84, Local Law 87, LL88 (Verification/Filing), LL97 A321 (Verification/Filing), Retro-Commissioning, Water Conservation","Brooklyn, Bronx, Manhattan, Queens, Staten Island","Registered Design Professional, Retro Commissioning Agent","NYSERDA FlexTech","SIG is a full-service green building consulting company providing education, consulting, and engineering solutions across all major sustainability, wellness, and ESG programs and frameworks. Recognized as a leader in the green building movement, SIG is a LEED Proven Provider, USGBC Gold Level Member, and ENERGY STAR Partner of the Year – Sustained Excellence. We have provided sustainability solutions for new and existing office, mixed-use, residential, industrial, healthcare, educational, retail, and event/entertainment properties. Our clients enjoy a one-stop solution for all their green initiatives. Services we often provide to NYC building owners include Local Law 97 compliance assessments, carbon reduction roadmaps, energy audits and retro-commissioning, and energy performance and building optimization consulting, as well as a full suite of green building certifications and ESG frameworks. To date, our team of professionally credentialed and licensed consultants and engineers have successfully delivered over 600 projects covering more than 200 million square feet.","Affordable Housing, Commercial and Industrial, Healthcare, Institutional, Multifamily Market Rate",50,15,"Small (0-50K sq. ft), Medium (50K-250K sq. ft), Large (250K+ sq. ft)"
"Synergy Engineering, PLLC","Alec Strongin",astrongin@synergy-engineer.com,https://www.synergy-engineering.com,917-981-9795,"212-629-1925 ext 129","116 West 23rd Street","New York","New York",10011,"Audits/Study/Consultant, Chilled Water Hot Water and Stream Distribution Systems, Controls/Energy Management Systems, Energy Modeling, Energy Storage, Engineering/Structural Engineering, Heat Pumps, HVAC, Hydronic Heating, Insulation, Lighting, Local Law 84, Local Law 87, Mechanical/MEP, Packaged Terminal Air, Retro-Commissioning, Roof Insulation, Steam Heating, Ventilation, Water Conservation","Brooklyn, Bronx, Manhattan, Queens, Staten Island","Registered Design Professional, Retro Commissioning Agent",,"Synergy Engineering is a professional engineering firm dedicated to helping building owners, developers, and design teams create and maintain sustainable, high-performance buildings. 
 
We offer a one-stop solution for compliance with Local Laws 97, 87, and 84, providing a comprehensive, full-service approach to GHG emissions reduction, energy audits, retro-commissioning and energy performance benchmarking.
 
Our commitment to the continuous energy optimization process goes beyond submitting compliance reports. Leveraging our expertise in building systems design, installation, and operation, we guide clients through a holistic decarbonization process. This includes specifying, implementing, inspecting, commissioning, and verifying the performance of practical Energy Conservation Measures (ECMs) to meet GHG emissions limits.    
 
By integrating technical expertise with a deep understanding of NYC energy regulations, Synergy Engineering not only simplifies compliance but also helps reduce building carbon footprints - promoting sustainability for generations to come.","Commercial and Industrial, Institutional",2,17,"Medium (50K-250K sq. ft), Large (250K+ sq. ft)"
"Talisen Technologies","Lauren Werner",lwerner@talisentech.com,https://www.talisentech.com,314-317-7789,314-317-7789,"89 Headquarters Plaza",Morristown,"New Jersey",07960,"Audits/Study/Consultant, Data Platform/Data as a Service, Energy Modeling, Water Conservation","Brooklyn, Bronx, Manhattan, Queens, Staten Island","Certified Energy Manager, Minority Owned Business Enterprise (MBE), Registered Design Professional","NYSERDA Real Time Management Program (RTEM)","Talisen is a global leader of enterprise solutions for organizations with sophisticated networks, applications, and security requirements in Energy Management, Aerospace, Defense, Manufacturing, and Infrastructure Management systems.","Commercial and Industrial, Healthcare, Institutional",52,34,"Small (0-50K sq. ft), Medium (50K-250K sq. ft), Large (250K+ sq. ft)"
"The Cotocon Group","Jimmy Carchietta",jimmy@thecotocongroup.com,https://www.thecotocongroup.com,212-889-6566,516-903-8202,"44 Bethpage Rd. Suite 3",Hicksville,"New York",11801,"Air Sealing/Weatherization, Audits/Study/Consultant, Boiler Services, Building Envelope/Roof Services, Chilled Water Hot Water and Stream Distribution Systems, Controls/Energy Management Systems, Data Platform/Data as a Service, Domestic Hot Water, EC Motors, Engineering/Design/Modeling, Energy Modeling, Energy Storage, Engineering/Structural Engineering, EV Charging Station, Geothermal, Heat Pumps, HVAC, Hydronic Heating, Insulation, Lighting, Local Law 84, Local Law 87, LL97, Master Venting, Packaged Terminal Air, Pipe Insulation, Retro-Commissioning, Roofing, Steam Heating, Turnkey Solutions, Windows/Fenestration","Brooklyn, Bronx, Manhattan, Queens, Staten Island","Electrician License, General Contractor License, Master Electricians License, Registered Design Professional","Con Edison Commercial and Industrial (C&I), National Grid Multifamily Program","The Cotocon Group is your trusted partner in ensuring compliance with key energy efficiency regulations in New York City. As a leading organization specializing in NYC Local Law 97, NYC Local Law 87, and Local Law 84 compliance services, Cotocon is dedicated to helping you navigate the complexities of these regulations with ease.

Our team of experts brings extensive knowledge and experience in the field of energy efficiency, building sustainability and Emission Reduction. 

Whether you are a building owner, manager, or operator, we offer comprehensive services to meet your compliance requirements. Our NYC Local Law 97 services enable you to accurately assess your building's energy usage and carbon emissions, determine compliance levels, and develop effective strategies to meet the mandated targets. With our expertise, you can achieve substantial energy reductions, avoid costly penalties while increasing your building, value.
Furthermore, our NYC Local Law 84 compliance services offer thorough benchmarking assessments to evaluate your building's energy performance and comply with reporting requirements efficiently. We also provide NYC Local Law 87 compliance services, assisting you in conducting energy audits and implementing energy efficiency measures. Our team will provide you with valuable insights into your energy usage patterns, allowing you to identify areas for improvement and make informed decisions to optimize efficiency.

Cotocon is recognized as a partner with Con Edison, NYSERDA, PSEG-LI (TA), ENERGY STAR, and National Grid, EV Make Ready Program.

Services: NYC Local Law 97 Compliance, NYC Local Law 87 Compliance, NYC Local Law 84/133 Compliance, NYC Local Law 95 Compliance, Local Law 88 Compliance, Energy Audits, Retro Commissioning, Building Energy and Water Benchmarking, Energy Modeling, GHG EUI Reduction, Building Commissioning, ENERGY STAR Certification, LEED Certification, NYSERDA Primary Energy Consultants, Building Rebate and Alternative Compliance Path Services, Energy Consultation, Energy Efficiency Reporting","Affordable Housing, Commercial and Industrial, Healthcare, Institutional, Multifamily Market Rate",10,12,"Small (0-50K sq. ft)"
"The Ordering Force","Khaled Mohammed",KHALED@THEORDERINGFORCE.COM,https://www.theorderingforce.com,347-596-6073,,"21 Walnut Court",Springfield,"New Jersey",07081,"Audits/Study/Consultant, Boiler Services, Building Representatives, Controls/Energy Management Systems, Data Platform/Data as a Service, Engineering/Structural Engineering, Expediting, Heat Pumps, HVAC, Lighting, LL88 (Verification/Filing), LL97, LL97 A321 (Verification/Filing), Mechanical/MEP, Retro-Commissioning, Steam Heating","Brooklyn, Bronx, Manhattan, Queens, Staten Island","Registered Design Professional",,"As an engineering firm run by a registered design professional, we have the ability to provide professional engineering services. We offer structural engineering, mechanical engineering (steam, boilers, HVAC, plumbing), and electrical engineering. We currently also offer Local Law 97 services, including providing free reports.  Boiler Services, Building Representative, Controls, Data platform/Data as a Service, Design, Energy Auditor, Energy Consultant, Energy Modeling, Engineering/Structural Engineering, Expediting, HVAC, Steam Heating, Heat Pumps, Hydronic Heating, Lighting, Local Law 84 (LL84), Local Law 87 (LL87), Local Law 97, (LL97), Mechanical/MEP, Packaged Terminal Air Conditioner, Pipe Insulation, Retro-Commissioning","Affordable Housing, Commercial and Industrial, Healthcare, Institutional, Multifamily Market Rate",2,2,"Small (0-50K sq. ft)"
Trane,"Patrick Pasco",Patrick.Pasco@trane.com,https://www.tranenynj.com,718-269-3625,347-439-2977,"10-27 46th Avenue","Long Island City","New York",11101,"Audits/Study/Consultant, Boiler Services, Chilled Water Hot Water and Stream Distribution Systems, Controls/Energy Management Systems, Engineering/Design/Modeling, Energy Modeling, Energy Storage, Engineering/Structural Engineering, Equipment Vendor/Manufacturer, Heat Pumps, HVAC, Hydronic Heating, Insulation, Packaged Terminal Air, Pipe Insulation, Steam Heating, Turnkey Solutions","Brooklyn, Bronx, Manhattan, Queens, Staten Island","Registered Design Professional","Con Edison Multifamily Program (MFEEP), Con Edison Commercial and Industrial (C&I), NYSERDA FlexTech, NYSERDA On Site Energy Manager (OSEM), NYSERDA Real Time Management Program (RTEM), NYSERDA Clean Heat Program","Trane works directly with building owners and management to upgrade HVAC infrastructure in existing buildings. They are focused on the following offerings, but not limited to, chiller servicing, chiller replacements, pump upgrades, VFDs, building automation systems, controls optimization, valve replacements to optimize hydronic systems, and many more.","Commercial and Industrial, Healthcare, Institutional, Multifamily Market Rate",100,100,"Large (250K+ sq. ft)"
"VGCOM LLC","Kapil Varshney",kvarshney@vgcomp.com,https://www.vgcomp.com,646-494-8075,413-658-7278,"800 3rd Ave, Suite#A","New York","New York",10022,"Audits/Study/Consultant, Controls/Energy Management Systems, Engineering/Design/Modeling, Engineering/Structural Engineering, Local Law 84, Local Law 87, LL88 (Verification/Filing), LL97 A321 (Verification/Filing), Mechanical/MEP, Prescriptive Pathway (All 13 PECM's), Retro-Commissioning","Brooklyn, Bronx, Manhattan, Queens, Staten Island","Minority Owned Business Enterprise (MBE), Registered Design Professional, Retro Commissioning Agent",,"We provide:
1. ASHRAE Level I, II, III energy auditing
2. Retro-commissioning
3. MEP Design
4. Construction Management Services","Affordable Housing, Commercial and Industrial, Healthcare, Institutional, Multifamily Market Rate",2,5,"Medium (50K-250K sq. ft)"
"WB Engineers+Consultants","Desmond Greene",dgreene@wbengineering.com,https://wbengineering.com/,646-778-5637,347-675-9176,"33 Whitehall Street, Suite 1701","New York","New York",10004,"Audits/Study/Consultant, Engineering/Design/Modeling, Energy Modeling, Local Law 84, Local Law 87, LL88 (Verification/Filing), LL97 A321 (Verification/Filing), Retro-Commissioning","Brooklyn, Bronx, Manhattan, Queens","Registered Design Professional, Retro Commissioning Agent","NYSERDA FlexTech","We advise, design, and construct. We help clients improve the energy efficiency of their systems and reduce carbon emissions from their buildings.  Our services: Strategic Decarb Planning, Energy Audits, Incentives & Rebate Programs, Benchmarking, Policy Compliance Planning, and Green Building Certifications.","Commercial and Industrial",200,25,"Small (0-50K sq. ft), Medium (50K-250K sq. ft), Large (250K+ sq. ft)"
"Wendel Energy Services, LLC","Daniel Audette",daudette@wendelcompanies.com,https://wendelcompanies.com/,631-234-1792,631-234-1792,"100 Motor Parkway, Suite 410",Hauppauge,"New York",11788,"Architecture, Engineering/Design/Modeling, Energy Storage, Geothermal, Heat Pumps, HVAC, Lighting, LL88 (Turnkey = Turnkey = Install, Verify, File), LL97 A321 (Turnkey = Turnkey = Install, Verify, File), Mechanical/MEP, Turnkey Solutions","Brooklyn, Bronx, Manhattan, Queens, Staten Island","Registered Design Professional","Con Edison Commercial and Industrial (C&I), Con Edison Instant Lighting Incentive Program (ILIP), National Grid General Rebates, NYSERDA FlexTech, NYSERDA On Site Energy Manager (OSEM), NYSERDA Real Time Management Program (RTEM), NYSERDA Commercial New Construction Program (PON 3609), NYSERDA NY-Sun Program, NYSERDA Charge Ready NY Program, NYSERDA Clean Heat Program, NYSERDA Clean Heating and Cooling Screenings for Large Buildings","Wendel is an 82-year-old, full-service architecture, engineering, construction management and energy efficiency firm that delivers customized solutions and turnkey projects in innovative ways. Wendel Energy Services, LLC has audited, studied, analyzed, designed, and constructed over $500 million in energy efficiency projects since its inception in 2001. These projects have provided our clients with high efficiency equipment and process/operational improvements that have reduced consumption of their water, oil, natural gas, and electricity, resulting in total annual cost savings of over $196 million with greenhouse gas reductions of 1, 000, 000 metric tons of CO2e to date. Wendel has been a highly regarded NYSERDA FlexTech contractor for decades. We have successfully completed over a thousand energy audits under this program. We are also a National Association of Energy Service Companies (NAESCO) accredited ESCO and we are a United States Department of Energy (DOE) Qualified ESCO.","Commercial and Industrial, Healthcare, Institutional",270,82,"Small (0-50K sq. ft)"
"Y8 STUDIO Architecture, PC","Jordan Wyatt",jordan@y8studio.com,https://y8studio.com,212-602-1755,323-612-1755,"447 Broadway 2nd Floor #141","New York","New York",10013,"Architecture, Audits/Study/Consultant, Building Envelope/Roof Services, Building Representatives, Chilled Water Hot Water and Stream Distribution Systems, Domestic Hot Water, Engineering/Design/Modeling, Energy Modeling, Expediting, Green Roof, Heat Pumps, HVAC, Hydronic Heating, Insulation, Lighting, Mechanical/MEP, Passive House, Pipe Insulation, Roofing, Roof Insulation, Steam Heating, Ventilation, Water Conservation, Windows/Fenestration","Brooklyn, Manhattan","Registered Design Professional",,"We are an architecture firm focused on landmarked building restorations and renovations, specializing in deep energy retrofits, Passive House retrofits and preservation to extend the useful life of historic buildings throughout New York City. Specifically, we advise on building alterations, mechanical systems, hot water heating, balanced ventilation, and building envelope design (windows, insulation, airtightness, vapor control) for improving energy performance, indoor comfort, resiliency and operating costs.

Mechanical design energy services for Passive House and similar energy efficient systems including all-electric heat pump and variable refrigerant flow (VRF) HVAC systems, energy recovery ventilation (ERV) systems and all-electric heat pump hot water heating.","Multifamily Market Rate",1,9,"Small (0-50K sq. ft), Medium (50K-250K sq. ft), Large (250K+ sq. ft)"
